date,electric,industrial,resi_comm
2023-12-19,1.85,2.16,3.12
2023-12-20,1.995,2.315,3.125
2023-12-21,2.283333333333333,2.67,3.4466666666666668
2023-12-22,2.29,2.675,3.4275
2023-12-23,1.858,2.216,2.91
2023-12-24,1.552,1.866,2.5420000000000003
2023-12-25,1.494,1.78,2.41
2023-12-26,1.3133333333333335,1.6133333333333333,2.316666666666667
2023-12-27,1.2042857142857142,1.4928571428571427,2.221428571428571
2023-12-28,1.30375,1.6,2.345
2023-12-29,1.33,1.6266666666666667,2.368888888888889
2023-12-30,1.528888888888889,1.8255555555555556,2.5755555555555554
2023-12-31,1.7966666666666669,2.118888888888889,2.8644444444444446
2024-01-01,1.99,2.34,3.2622222222222224
2024-01-02,2.05,2.401111111111111,3.3322222222222226
2024-01-03,1.9537499999999999,2.285,3.28125
2024-01-04,2.20375,2.53375,3.5075000000000003
2024-01-05,2.3362499999999997,2.7,3.62625
2024-01-06,2.1075,2.4525,3.3937500000000003
2024-01-07,2.3850000000000002,2.73625,3.8024999999999998
2024-01-08,2.3825,2.73125,3.8049999999999997
2024-01-09,1.935,2.25,3.4162500000000002
2024-01-10,1.55875,1.7974999999999999,2.9274999999999998
2024-01-11,1.7662499999999999,2.0475,3.18125
2024-01-12,1.61,1.9024999999999999,3.0749999999999997
2024-01-13,1.4755555555555555,1.68,2.4355555555555557
2024-01-14,2.3455555555555554,2.658888888888889,3.5844444444444443
2024-01-15,2.5777777777777775,2.9522222222222223,3.8966666666666665
2024-01-16,2.63,3.0055555555555555,4.038888888888889
2024-01-17,2.85,3.2659999999999996,4.38
2024-01-18,2.782,3.2010000000000005,4.322
2024-01-19,2.776,3.189,4.3100000000000005
2024-01-20,2.964,3.4270000000000005,4.426
2024-01-21,2.792,3.216,4.212
2024-01-22,2.428,2.7960000000000003,3.78
2024-01-23,2.0300000000000002,2.34,3.446
2024-01-24,1.778,2.089,3.278
2024-01-25,1.464,1.7269999999999999,2.825
2024-01-26,1.6130000000000002,1.905,2.975
2024-01-27,1.6309999999999998,1.939,2.998
2024-01-28,1.845,2.1670000000000003,3.196
2024-01-29,2.089,2.415,3.433
2024-01-30,2.2866666666666666,2.648888888888889,3.6366666666666663
2024-01-31,2.11875,2.46875,3.44625
2024-02-01,1.7425,2.05375,3.12375
2024-02-02,1.7525,2.0574999999999997,3.02
2024-02-03,1.96,2.295,3.13125
2024-02-04,2.00875,2.3525,3.1825
2024-02-05,2.0825,2.42125,3.33125
2024-02-06,2.005,2.34375,3.2775
2024-02-07,1.91875,2.24125,3.20625
2024-02-08,1.74125,2.0524999999999998,3.18125
