"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"5/1/2022 12 a.m. EDT",0,36,1899,0,15051,2695,3876
FLA,"5/1/2022 1 a.m. EDT",0,37,1864,0,13475,2188,3881
FLA,"5/1/2022 2 a.m. EDT",0,37,1855,0,12275,1734,3877
FLA,"5/1/2022 3 a.m. EDT",0,37,1859,0,11307,1559,3884
FLA,"5/1/2022 4 a.m. EDT",0,37,1850,0,10671,1544,3886
FLA,"5/1/2022 5 a.m. EDT",-1,37,1814,0,10331,1542,3885
FLA,"5/1/2022 6 a.m. EDT",0,37,1780,0,10409,1548,3876
FLA,"5/1/2022 7 a.m. EDT",2,37,1670,0,10723,1608,3889
FLA,"5/1/2022 8 a.m. EDT",433,37,1712,0,11181,1585,3885
FLA,"5/1/2022 9 a.m. EDT",1916,37,1799,0,12364,1643,3887
FLA,"5/1/2022 10 a.m. EDT",3006,37,1917,0,13871,1932,3878
FLA,"5/1/2022 11 a.m. EDT",3572,33,1925,0,15330,2535,3880
FLA,"5/1/2022 12 p.m. EDT",3869,37,1923,0,16836,2868,3887
FLA,"5/1/2022 1 p.m. EDT",3584,35,1931,0,19043,3128,3887
FLA,"5/1/2022 2 p.m. EDT",3409,32,1984,0,20716,3551,3881
FLA,"5/1/2022 3 p.m. EDT",3613,34,2096,0,21219,3845,3886
FLA,"5/1/2022 4 p.m. EDT",3167,33,2173,0,22245,4010,3876
FLA,"5/1/2022 5 p.m. EDT",2163,35,2141,22,23255,4075,3881
FLA,"5/1/2022 6 p.m. EDT",1802,39,2155,47,23171,3971,3879
FLA,"5/1/2022 7 p.m. EDT",848,36,2199,0,22684,3884,3880
FLA,"5/1/2022 8 p.m. EDT",148,36,2063,0,21805,3886,3880
FLA,"5/1/2022 9 p.m. EDT",0,35,1943,0,21444,3916,3877
FLA,"5/1/2022 10 p.m. EDT",2,34,1928,0,19829,3752,3875
FLA,"5/1/2022 11 p.m. EDT",-1,34,1929,0,17604,3511,3883
FLA,"5/2/2022 12 a.m. EDT",0,34,1930,0,15144,3101,3883
FLA,"5/2/2022 1 a.m. EDT",0,33,1871,0,13405,2580,3885
FLA,"5/2/2022 2 a.m. EDT",0,33,1845,0,12434,1986,3882
FLA,"5/2/2022 3 a.m. EDT",0,32,1843,0,11490,1770,3880
FLA,"5/2/2022 4 a.m. EDT",0,32,1800,0,10974,1748,3884
FLA,"5/2/2022 5 a.m. EDT",0,32,1813,0,11028,1771,3890
FLA,"5/2/2022 6 a.m. EDT",0,32,1824,0,12005,1849,3872
FLA,"5/2/2022 7 a.m. EDT",1,30,1907,0,13567,1980,3875
FLA,"5/2/2022 8 a.m. EDT",389,29,1970,0,14479,2217,3889
FLA,"5/2/2022 9 a.m. EDT",1923,32,2000,0,14645,2539,3889
FLA,"5/2/2022 10 a.m. EDT",3159,33,1911,0,15373,2829,3886
FLA,"5/2/2022 11 a.m. EDT",3889,31,1848,0,16727,3110,3885
FLA,"5/2/2022 12 p.m. EDT",4324,30,1897,0,18325,3439,3890
FLA,"5/2/2022 1 p.m. EDT",4144,31,2022,47,20306,3661,3884
FLA,"5/2/2022 2 p.m. EDT",3996,32,2245,50,21853,3943,3873
FLA,"5/2/2022 3 p.m. EDT",3961,32,2276,49,23144,4168,3872
FLA,"5/2/2022 4 p.m. EDT",3638,31,2289,49,24477,4360,3872
FLA,"5/2/2022 5 p.m. EDT",3134,32,2293,178,25369,4469,3869
FLA,"5/2/2022 6 p.m. EDT",2578,38,2305,170,25982,4471,3873
FLA,"5/2/2022 7 p.m. EDT",1457,36,2260,62,26032,4428,3869
FLA,"5/2/2022 8 p.m. EDT",271,36,2179,0,25382,4114,3875
FLA,"5/2/2022 9 p.m. EDT",1,36,2086,3,24721,3813,3871
FLA,"5/2/2022 10 p.m. EDT",0,37,1830,0,23231,3491,3878
FLA,"5/2/2022 11 p.m. EDT",0,37,1800,0,21012,3013,3885
FLA,"5/3/2022 12 a.m. EDT",0,37,1888,0,18264,2768,3883
FLA,"5/3/2022 1 a.m. EDT",-1,38,1648,0,15961,2470,3885
FLA,"5/3/2022 2 a.m. EDT",0,37,1664,0,14653,2030,3888
FLA,"5/3/2022 3 a.m. EDT",0,37,1638,0,13633,1788,3887
FLA,"5/3/2022 4 a.m. EDT",0,37,1568,0,13202,1655,3886
FLA,"5/3/2022 5 a.m. EDT",0,36,1550,0,13193,1577,3882
FLA,"5/3/2022 6 a.m. EDT",0,38,1599,0,13954,1558,3890
FLA,"5/3/2022 7 a.m. EDT",0,38,1650,0,15252,2042,3892
FLA,"5/3/2022 8 a.m. EDT",267,35,1661,1,15739,2565,3887
FLA,"5/3/2022 9 a.m. EDT",1283,37,1699,13,16137,2783,3881
FLA,"5/3/2022 10 a.m. EDT",2150,34,1863,1,17057,2844,3882
FLA,"5/3/2022 11 a.m. EDT",3101,33,2021,5,18011,3146,3883
FLA,"5/3/2022 12 p.m. EDT",3782,35,2214,0,18936,3497,3889
FLA,"5/3/2022 1 p.m. EDT",3912,38,2238,0,20448,3771,3881
FLA,"5/3/2022 2 p.m. EDT",3866,38,2346,0,22071,3948,3880
FLA,"5/3/2022 3 p.m. EDT",3412,37,2420,0,23699,4034,3876
FLA,"5/3/2022 4 p.m. EDT",3272,37,2434,0,24771,3789,3881
FLA,"5/3/2022 5 p.m. EDT",2524,37,2459,87,25728,3804,3873
FLA,"5/3/2022 6 p.m. EDT",1841,39,2451,187,26007,3882,3877
FLA,"5/3/2022 7 p.m. EDT",777,39,2473,93,25865,3900,3871
FLA,"5/3/2022 8 p.m. EDT",155,39,2531,2,24543,3958,3876
FLA,"5/3/2022 9 p.m. EDT",1,39,2466,0,23741,4018,3875
FLA,"5/3/2022 10 p.m. EDT",0,39,2269,0,21800,3951,3883
FLA,"5/3/2022 11 p.m. EDT",0,38,2134,0,19155,3802,3890
FLA,"5/4/2022 12 a.m. EDT",0,41,1717,0,16845,3257,3886
FLA,"5/4/2022 1 a.m. EDT",-1,40,1772,0,14927,2551,3889
FLA,"5/4/2022 2 a.m. EDT",0,39,1625,0,13917,1809,3889
FLA,"5/4/2022 3 a.m. EDT",0,39,1556,0,13077,1491,3893
